"","year","accomplishment","person","gender","category","decade"
"323",1972,"First African-American inducted to the Basketball Hall of Fame","Team-owner and coach Bob Douglas, in the category of contributor (See also","African-American Firsts","Education & Science",1970
"324",1972,"First African-American female Broadway director","Vinnette Justine Carroll (Don't Bother Me, I Can't Cope)","Female African American Firsts","Arts & Entertainment",1970
"325",1972,"First African-American comic-book creator to receive a created by cover-credit","Wayne Howard (Midnight Tales #1)","African-American Firsts","Arts & Entertainment",1970
"326",1973,"First African-American artistic director of a professional regional theater","Harold Scott (Cincinnati Playhouse in the Park)","African-American Firsts","Arts & Entertainment",1970
"327",1973,"First African-American Bond villain in a James Bond movie","Yaphet Kotto, playing Mr. Big/Dr. Kananga, Live and Let Die.","African-American Firsts","Arts & Entertainment",1970
"328",1973,"First African-American Bond Girl in a James Bond movie","Gloria Hendry (playing Rosie Carver), Live and Let Die.","African-American Firsts","Arts & Entertainment",1970
"329",1973,"First African-American elected mayor of Los Angeles","Tom Bradley","African-American Firsts","Politics",1970
"330",1973,"First African-American psychologist in the U.S. Air Force","John D. Robinson","African-American Firsts","Military",1970
"331",1973,"First African-American woman mayor of a U.S. metropolitan city","Doris A. Davis, Compton, California","Female African American Firsts","Politics",1970
"332",1974,"First African-American model on the cover of U.S. Vogue magazine","Beverly Johnson","African-American Firsts","Arts & Entertainment",1970
"333",1975,"First African-American elected mayor, and first mayor, of Washington, D.C.","Walter Washington","African-American Firsts","Politics",1970
"334",1975,"First African-American game show host","Adam Wade (CBS' Musical Chairs)","African-American Firsts","Sports",1970
"335",1975,"First African-American four-star general","Daniel James Jr.","African-American Firsts","Military",1970
"336",1975,"First African-American inducted to the Basketball Hall of Fame as a player","Bill Russell (See also","African-American Firsts","Education & Science",1970
"337",1975,"First African-American interracial couple in a TV-series cast","The Jeffersons, actors Franklin Cover (Caucasian) and Roxie Roker (African-American) as Tom and Helen Willis, respectively; series creator","African-American Firsts","Arts & Entertainment",1970
"338",1975,"First African-American interracial romantic kiss in a color comic book","Amazing Adventures #31 (July 1975), feature Killraven","African-American Firsts","Arts & Entertainment",1970
"339",1975,"First African-American manager in Major League Baseball","Frank Robinson (Cleveland Indians)","African-American Firsts","Education & Science",1970
"340",1975,"First African-American model on the cover of Elle magazine","Beverly Johnson","African-American Firsts","Arts & Entertainment",1970
"341",1975,"First African-American psychologist in the U.S. Navy","John D. Robinson","African-American Firsts","Military",1970
